issue,remedy_id,remedy_name,detail
no_source_binding,bism-ox,"Bismuthum Oxidum",""
no_source_binding,bufo-s,"Bufo Sahytiensis",""
no_source_binding,cahin,"Cahinca",""
no_source_binding,cham-v,"Chamomilla Vulgaris",""
no_source_binding,chen,"Chenopodium Glauci Aphis",""
no_source_binding,convo,"Convolvulus Duartinus",""
no_source_binding,ferr-ar,"Ferrum Arsenicosum",""
no_source_binding,lappa-m,"Lappa Major",""
no_source_binding,merc-p-r,"Mercurius Præcipitatus Ruber",""
no_source_binding,naphtin,"Naphtalinum",""
no_source_binding,nat-a,"Natrum Arsenicatum",""
no_source_binding,nat-sil,"Natrum Silicatum",""
no_source_binding,phyt-d,"Phytolacca Berry",""
no_source_binding,poth,"Pothos Fœtidus",""
no_source_binding,rad,"Radium",""
no_source_binding,rhus-r,"Rhus Radicans",""
no_source_binding,sen,"Senega Officinalis",""
